###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57882.505684 -16.337  0.047 -1060   50 o  0  17.64 266.37407 -29.31596   623.08  9525.70 2.75 2.62 -86.0 -0.562 18.15 18.81 01a57882o0425o
57882.530476 -15.389  0.024 -2538   60 o  0  60.21 266.37407 -29.31596   708.73  9484.09 2.78 2.68 -68.7 -0.556 18.14 18.87 01a57882o0472o
57891.556689 -16.822  0.044  -678   30 o  0  14.31 266.37407 -29.31596  4858.45  1422.83 2.73 2.62  84.4 -0.412 18.81 19.77 02a57891o0324o
57891.572402 -16.294  0.041 -1102   45 o  0  16.98 266.37407 -29.31596  4843.31  1382.32 2.71 2.56 -86.1 -0.421 18.78 19.74 02a57891o0354o
57891.587603 -16.159  0.042 -1249   52 o  0  19.10 266.37407 -29.31596  4897.37  1461.73 2.78 2.48 -80.7 -0.416 18.74 19.71 02a57891o0383o
57891.602795 -16.574  0.043  -852   36 o  0  15.24 266.37407 -29.31596  4917.36  1342.76 2.82 2.52 -79.8 -0.413 18.66 19.65 02a57891o0412o
57891.618052 -15.754  0.032 -1813   57 o  0  31.11 266.37407 -29.31596  4886.15  1399.00 2.81 2.45 -74.2 -0.405 18.40 18.94 02a57891o0441o
57893.610584   9.032  0.006 -14888867819034 94265302190 o  0 12950.68 266.37407 -29.31596  4751.58  8828.96 6.63 6.10  65.9 -0.589 -4.42 -2.54 01a57893o0741o
57894.609082 -17.028  0.065  -561   37 o  0  24.57 266.37407 -29.31596  4874.53 10216.00 3.50 2.89 -43.2 -0.471 18.65 20.07 01a57894o0160o
57894.618682   6.622  0.034 -1617640493786 55398647048 o  0  21.73 266.37407 -29.31596  2314.16   587.40 3.60 3.02  58.4 -0.523 -4.70 -3.74 01a57894o0179o
57894.624710   9.989  0.007 -35951097297604 267736761008 o  0 7084.20 266.37407 -29.31596  4886.67 10312.65 12.26 9.83 -78.5 -0.136 -6.61 -5.39 01a57894o0191o
57895.548207 -17.857  0.084  -261   22 c  0   5.70 266.37407 -29.31596  5582.46  3215.24 3.06 2.70  31.5 -0.463 19.28 20.99 02a57895o0596c
57895.565091 -17.591  0.079  -334   26 c  0   7.01 266.37407 -29.31596  5569.03  3176.44 3.26 2.93  35.4 -0.461 18.99 20.65 02a57895o0628c
57895.598200 -17.813  0.074  -272   20 c  0  11.22 266.37407 -29.31596  5659.15  3134.84 3.11 2.77  35.1 -0.465 19.32 20.88 02a57895o0691c
57895.615030 -17.491  0.067  -366   24 c  0   9.87 266.37407 -29.31596  5611.12  3190.42 3.27 2.95  35.6 -0.467 18.66 19.82 02a57895o0723c
57897.600796   6.237  0.035 -1134733000382 39155728102 o  0  60.72 266.37407 -29.31596  2141.54  7609.83 4.32 3.40 -36.6 -0.416 -3.97 -2.11 01a57897o0708o
57897.616913   6.762  0.037 -1839406649636 68294801348 o  0  23.63 266.37407 -29.31596  2154.62  7707.65 4.37 3.48 -38.3 -0.409 -4.42 -3.30 01a57897o0740o
57898.596009 -15.310  0.023 -2729   62 o  0 124.14 266.37407 -29.31596  5715.35  9934.84 6.31 4.45 -24.8 -0.333 17.98 19.78 01a57898o0562o
57898.602147   5.936  0.043 -860153666527 37022721850 o  0  44.04 266.37407 -29.31596  3189.30   272.56 3.95 3.21 -11.1 -0.428 -4.17 -1.96 01a57898o0574o
57898.612087   6.983  0.022 -2255716243688 49808254807 o  0 14719.68 266.37407 -29.31596  5728.85 10033.18 5.02 3.86 -45.5 -0.577 -3.87 -2.40 01a57898o0594o
57898.618208   5.867  0.060 -806785531778 48285031826 o  0  19.25 266.37407 -29.31596  3203.22   370.53 3.38 3.01 -43.9 -0.442 -4.61 -3.69 01a57898o0606o
57899.539422 -17.806  0.089  -274   24 c  0   4.34 266.37407 -29.31596  5431.02  2011.60 3.04 2.57  31.5 -0.475 19.45 21.11 02a57899o0589c
57899.556183 -18.161  0.105  -197   21 c  0   5.00 266.37407 -29.31596  5417.94  1972.43 3.12 2.68  31.4 -0.471 19.36 21.08 02a57899o0621c
57899.572552 -17.896  0.072  -252   18 c  0   7.24 266.37407 -29.31596  5489.64  2049.64 3.11 2.65  32.2 -0.465 19.39 21.02 02a57899o0652c
57899.589340 -17.800  0.074  -276   20 c  0  11.22 266.37407 -29.31596  5508.26  1930.73 3.20 2.69  32.0 -0.470 19.37 20.98 02a57899o0684c
57899.606127 -17.338  0.065  -422   27 c  0  11.86 266.37407 -29.31596  5475.67  1986.35 3.47 2.94  33.5 -0.453 19.20 20.73 02a57899o0716c
57901.585158   6.962  0.023 -2212213977660 50693907826 o  0 12246.09 266.37407 -29.31596  5042.34 10379.68 4.78 4.04 -40.7 -0.653 -3.74 -1.87 01a57901o0494o
57901.591307 -16.751  0.062  -724   45 o  0  26.96 266.37407 -29.31596  2482.92   724.44 3.69 3.05 -43.3 -0.492 18.29 20.49 01a57901o0506o
57901.601277 -15.019  0.013 -3569   48 o  0 35122.15 266.37407 -29.31596  5057.05 10479.90 6.59 4.91 -33.0 -0.327 18.50 20.47 01a57901o0526o
57901.607435 -15.245  0.019 -2898   56 o  0 20356.22 266.37407 -29.31596  2513.13   822.76 4.76 4.11 -27.6 -0.413 18.07 20.34 01a57901o0538o
57901.617477 -14.703  0.011 -4772   54 o  0 26795.89 266.37407 -29.31596  4997.54 10460.23 6.63 5.11 -39.1 -0.329 18.07 19.42 01a57901o0558o
57901.623660   7.287  0.028 -2984944560761 82360281675 o  0 1767.59 266.37407 -29.31596  2437.01   802.81 4.04 3.55 -52.9 -0.492 -5.10 -4.54 01a57901o0570o
57902.582882   6.655  0.032 -1667987352981 52665690643 o  0 748.84 266.37407 -29.31596  4825.51  8567.45 4.47 3.84 -23.2 -0.600 -3.84 -2.06 01a57902o0689o
57902.598827   6.863  0.026 -2019530931875 53339159403 o  0 3798.03 266.37407 -29.31596  4839.95  8664.12 4.34 3.89 -30.8 -0.640 -3.83 -2.12 01a57902o0721o
57902.614913   6.906  0.026 -2101576637091 55123321629 o  0 5137.91 266.37407 -29.31596  4780.74  8643.90 4.62 3.95 -45.7 -0.596 -4.02 -2.51 01a57902o0753o
57903.527236 -18.043  0.089  -220   20 c  0   5.17 266.37407 -29.31596  7133.48   901.68 2.87 2.76  59.8 -0.431 19.44 21.06 02a57903o0570c
57903.544139 -18.188  0.086  -193   16 c  0   5.23 266.37407 -29.31596  7119.22   862.92 2.82 2.71  56.0 -0.438 19.47 21.06 02a57903o0603c
57903.560535 -17.984  0.082  -232   19 c  0   4.52 266.37407 -29.31596  7171.65   940.69 2.82 2.72  77.2 -0.440 19.38 21.02 02a57903o0635c
57903.577455 -18.310  0.119  -172   20 c  0   4.74 266.37407 -29.31596  7192.50   821.08 2.95 2.83  64.0 -0.442 19.33 20.96 02a57903o0668c
57903.593852 -18.187  0.106  -193   20 c  0   5.07 266.37407 -29.31596  7160.53   878.05 2.88 2.76  60.6 -0.443 19.36 20.92 02a57903o0700c
57905.573156   6.099  0.032 -998857757597 32435847249 o  0  80.71 266.37407 -29.31596  2915.39  8159.97 3.77 3.07 -39.3 -0.428 -3.88 -2.36 01a57905o0411o
57905.589314   5.607  0.043 -634830929307 27531518438 o  0 101.80 266.37407 -29.31596  2927.44  8261.70 4.04 3.24 -36.8 -0.401 -3.94 -2.37 01a57905o0443o
57905.605397   5.309  0.063 -482503347206 30291689959 o  0  49.42 266.37407 -29.31596  2871.79  8241.51 3.88 3.11 -42.0 -0.428 -3.93 -2.38 01a57905o0475o
57905.622593   7.492  0.135 -3604282119110 488331847514 o  0   2.05 266.37407 -29.31596  2846.72  8411.55 3.50 3.50   0.0 -0.136 -5.55 -5.52 01a57905o0509o
57906.545278 -17.056  0.089  -546   49 o  0   9.55 266.37407 -29.31596  9341.07   641.37 3.32 3.10  -2.8 -0.468 18.24 19.56 01a57906o0540o
57906.561725 -16.962  0.066  -596   40 o  0  13.35 266.37407 -29.31596  9374.05   746.74 3.07 3.06  63.4 -0.479 18.63 20.00 01a57906o0573o
57906.577773 -16.408  0.033  -993   32 o  0  32.80 266.37407 -29.31596  9301.19   728.43 3.21 2.96 -81.6 -0.498 18.79 20.25 01a57906o0605o
57906.594397 -17.166  0.094  -494   47 o  0  17.63 266.37407 -29.31596  9277.56   907.79 3.51 3.27 -84.4 -0.485 18.33 19.73 01a57906o0638o
57907.534628 -18.103  0.117  -208   24 o  0   8.58 266.37407 -29.31596  4891.94  1716.41 2.47 2.22  43.6 -0.458 18.84 20.04 02a57907o0476o
57907.567954 -18.062  0.154  -216   33 o  0   7.11 266.37407 -29.31596  4964.81  1676.46 2.69 2.42  44.1 -0.438 18.63 19.75 02a57907o0541o
57907.584784 -16.448  0.048  -956   46 o  0  11.30 266.37407 -29.31596  4933.39  1731.50 3.11 2.88  39.1 -0.420 18.56 19.82 02a57907o0574o
57909.531261   5.045  0.118 -378348914161 44576958021 o  0  21.70 266.37407 -29.31596  3187.29  7510.53 3.00 2.87 -58.8 -0.457 -4.13 -2.90 01a57909o0588o
57909.580513   4.383  0.136 -205609641520 27962911247 o  0  32.19 266.37407 -29.31596  3137.39  7776.04 2.98 2.73 -52.4 -0.452 -3.82 -2.39 01a57909o0686o
57910.488932 -17.737  0.140  -292   41 o  0   9.85 266.37407 -29.31596  5044.40  7304.12 3.04 2.81  54.7 -0.450 18.42 19.31 01a57910o0501o
57910.503962 -17.810  0.164  -273   45 o  0   6.81 266.37407 -29.31596  5068.78  7402.55 3.08 2.90  47.0 -0.440 18.40 19.27 01a57910o0531o
57910.519293 -15.826  0.044 -1697   74 o  0  20.12 266.37407 -29.31596  5023.68  7386.61 3.46 3.36  74.5 -0.441 18.07 19.03 01a57910o0562o
57910.534258 -16.834  0.245  -670  164 o  0   2.48 266.37407 -29.31596  5011.86  7563.35 3.21 3.09  74.9 -0.473 17.73 18.22 01a57910o0592o
57911.371918 -23.862 452.429    -1  469 o  0   1.28 266.37407 -29.31596  2699.84  8812.28 2.43 2.23  12.2 -0.584 16.34 17.27 02a57911o0251o
57911.387165   4.443  0.670 -217310419682 145491411045 o  0   1.87 266.37407 -29.31596  2712.40  8849.40 2.63 2.46 -12.9 -0.426 -5.11 -4.52 02a57911o0278o
57911.398544 -20.170  4.691   -31  146 o  0   0.54 266.37407 -29.31596  2666.02  8774.34 2.18 1.97   1.7 -0.641 18.12 18.55 02a57911o0299o
57911.413070 -18.722  0.675  -118   80 o  0   1.42 266.37407 -29.31596  2650.78  8890.86 2.14 1.99   6.3 -0.549 18.10 18.54 02a57911o0326o
57911.416961 -18.600  0.783  -132  103 o  0   0.93 266.37407 -29.31596  2686.21  8830.75 2.24 2.09   7.2 -0.577 18.01 18.56 02a57911o0333o
57917.548406 -16.557  0.107  -865   93 o  0   4.77 266.37407 -29.31596   714.27   906.14 3.05 2.83 -54.2 -0.553 17.05 17.81 01a57917o0506o
57917.564487   3.043  0.908 -59872064377 54334763625 o  0   1.31 266.37407 -29.31596   730.49  1006.38 3.10 2.85 -54.1 -0.525 -4.78 -3.81 01a57917o0538o
57917.579585   5.022  0.161 -370469316723 59477418551 o  0   3.71 266.37407 -29.31596   655.37   980.13 3.15 2.85 -62.0 -0.515 -4.72 -3.61 01a57917o0568o
57918.533920   4.963  0.141 -350939444527 49459149722 o  0  17.28 266.37407 -29.31596  2641.81  7978.48 3.17 2.70 -45.4 -0.456 -4.01 -2.98 01a57918o0592o
57918.550585   6.094  0.049 -994703123128 48417134171 o  0  30.28 266.37407 -29.31596  2675.91  8077.98 3.39 2.89 -33.9 -0.450 -4.15 -3.02 01a57918o0625o
57918.566748   4.850  0.171 -316368284340 53990008982 o  0  13.55 266.37407 -29.31596  2604.19  8060.61 3.25 2.70 -48.1 -0.476 -4.09 -3.12 01a57918o0657o
57918.583281   5.470  0.104 -559670894177 58404857378 o  0  21.43 266.37407 -29.31596  2577.97  8234.16 3.34 2.79 -45.6 -0.442 -4.17 -3.22 01a57918o0690o
57922.451701   5.484  0.052 -566834732561 29291419365 o  0  65.77 266.37407 -29.31596  4326.93  9213.75 4.12 3.27   1.4 -0.367 -3.69 -2.06 01a57922o0429o
57922.460533   4.793  0.074 -300092782222 22057468242 o  0  35.21 266.37407 -29.31596  4349.36  9289.47 3.42 3.07   4.0 -0.412 -3.58 -2.06 01a57922o0447o
57922.468892 -16.871  0.103  -648   66 o  0   7.43 266.37407 -29.31596  4302.57  9246.18 3.56 3.13   2.1 -0.418 17.74 19.23 01a57922o0464o
57922.477708 -16.904  0.067  -629   42 o  0  25.27 266.37407 -29.31596  4289.04  9400.22 3.43 3.22  72.7 -0.448 18.63 20.25 01a57922o0482o
