###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57906.545278  14.714  0.146  4727  691 o  0   1.33 266.37407 -29.31596  9341.07   641.37 3.32 3.10  -2.8 -0.468 18.24 19.56 01a57906o0540o
57906.561725  15.458  0.040  2381   96 o  0  32.53 266.37407 -29.31596  9374.05   746.74 3.07 3.06  63.4 -0.479 18.63 20.00 01a57906o0573o
57906.577773  12.847  0.001 26387   36 o  0 16776.25 266.37407 -29.31596  9301.19   728.43 3.21 2.96 -81.6 -0.498 18.79 20.25 01a57906o0605o
57906.594397  15.835  0.079  1682  133 o  0   8.22 266.37407 -29.31596  9277.56   907.79 3.51 3.27 -84.4 -0.485 18.33 19.73 01a57906o0638o
57907.534628 -18.909  0.236   -99   23 o  0   2.53 266.37407 -29.31596  4891.94  1716.41 2.47 2.22  43.6 -0.458 18.84 20.04 02a57907o0476o
57907.567954 -19.012  0.409   -90   37 o  0   6.28 266.37407 -29.31596  4964.81  1676.46 2.69 2.42  44.1 -0.438 18.63 19.75 02a57907o0541o
57907.584784  18.717  0.373   118   44 o  0   9.01 266.37407 -29.31596  4933.39  1731.50 3.11 2.88  39.1 -0.420 18.56 19.82 02a57907o0574o
57910.488932  17.584  0.129   336   43 o  0   9.90 266.37407 -29.31596  5044.40  7304.12 3.04 2.81  54.7 -0.450 18.42 19.31 01a57910o0501o
57910.503962  20.749  2.946    18   54 o  0   2.05 266.37407 -29.31596  5068.78  7402.55 3.08 2.90  47.0 -0.440 18.40 19.27 01a57910o0531o
57910.519293  18.806  0.692   109   75 o  0   2.29 266.37407 -29.31596  5023.68  7386.61 3.46 3.36  74.5 -0.441 18.07 19.03 01a57910o0562o
57910.534258  17.878  0.786   256  201 o  0   1.05 266.37407 -29.31596  5011.86  7563.35 3.21 3.09  74.9 -0.473 17.73 18.22 01a57910o0592o
57911.371918 -15.448  0.265 -2403  638 o  0   8.35 266.37407 -29.31596  2699.84  8812.28 2.43 2.23  12.2 -0.584 16.34 17.27 02a57911o0251o
57911.398544  20.326  4.997    27  134 o  0   0.63 266.37407 -29.31596  2666.02  8774.34 2.18 1.97   1.7 -0.641 18.12 18.55 02a57911o0299o
57911.413070 -19.399  1.804   -63  114 o  0   0.77 266.37407 -29.31596  2650.78  8890.86 2.14 1.99   6.3 -0.549 18.10 18.54 02a57911o0326o
57911.416961 -19.239  1.723   -73  126 o  0   0.97 266.37407 -29.31596  2686.21  8830.75 2.24 2.09   7.2 -0.577 18.01 18.56 02a57911o0333o
57917.548406  19.845  3.620    42  152 o  0   5.00 266.37407 -29.31596   714.27   906.14 3.05 2.83 -54.2 -0.553 17.05 17.81 01a57917o0506o
57922.468892  11.651  0.001 79376   68 o  0 15562.21 266.37407 -29.31596  4302.57  9246.18 3.56 3.13   2.1 -0.418 17.74 19.23 01a57922o0464o
57922.477708  11.991  0.001 57997   62 o  0 20369.31 266.37407 -29.31596  4289.04  9400.22 3.43 3.22  72.7 -0.448 18.63 20.25 01a57922o0482o
57923.454773  16.104  5.047  1313 6627 o  0   0.27 266.37407 -29.31596  7913.74  1506.08 2.48 2.41 -80.4 -0.460 14.95 15.93 02a57923o0419o
57923.463142 -15.214  1.667 -2980 4968 o  0   0.13 266.37407 -29.31596  7966.01  1584.82 2.23 2.13 -71.5 -0.488 15.70 16.55 02a57923o0436o
57923.475912 -15.182  1.963 -3071 6029 o  0   0.18 266.37407 -29.31596  8003.86  1467.10 2.23 2.14 -74.8 -0.478 14.97 15.83 02a57923o0462o
57926.439213  12.117  0.001 51680   37 o  0 49356.08 266.37407 -29.31596  3975.33  9804.83 3.20 2.96 -22.5 -0.459 18.86 20.58 01a57926o0403o
57926.448051  13.584  0.002 13382   26 o  0 5403.96 266.37407 -29.31596  3997.87  9879.29 4.17 3.08  -5.4 -0.410 18.75 20.54 01a57926o0421o
57926.456398  18.568  0.232   136   32 o  0   4.98 266.37407 -29.31596  3934.00  9836.09 3.38 3.03 -21.0 -0.453 18.82 20.52 01a57926o0438o
57926.465255  12.059  0.001 54525   31 o  0 51268.83 266.37407 -29.31596  3920.22  9991.14 3.75 3.22 -12.1 -0.431 18.76 20.46 01a57926o0456o
57930.435615  13.804  0.003 10924   29 o  0 2910.00 266.37407 -29.31596  5029.57  9739.82 5.00 3.45  -6.6 -0.386 18.51 20.50 01a57930o0369o
57930.443526  12.243  0.001 45989   33 o  0 50248.17 266.37407 -29.31596  2488.03    97.94 3.29 3.18  16.8 -0.434 18.32 20.55 01a57930o0385o
57930.444507  12.841  0.001 26527   32 o  0 15163.58 266.37407 -29.31596  5051.61  9814.64 4.96 3.34  -6.3 -0.416 18.58 20.52 01a57930o0387o
57930.452368  12.950  0.001 23984   34 o  0 9028.66 266.37407 -29.31596  2509.99   172.84 4.00 3.62  10.2 -0.427 18.13 20.57 01a57930o0403o
57930.452856  12.672  0.001 30975   29 o  0 13212.24 266.37407 -29.31596  5004.02  9770.36 4.74 3.88 -13.7 -0.414 18.54 20.44 01a57930o0404o
57930.458239  13.247  0.002 18242   32 o  0 5885.56 266.37407 -29.31596  4988.81  9910.97 4.40 3.63 -19.1 -0.431 18.60 20.51 01a57930o0415o
57930.458740  12.717  0.001 29737   38 o  0 11613.08 266.37407 -29.31596  2441.64   122.59 4.24 3.49   2.3 -0.409 18.14 20.56 01a57930o0416o
57930.469573  11.928  0.001 61502   51 o  0 42893.73 266.37407 -29.31596  2429.32   284.00 3.49 3.43  83.2 -0.449 18.19 20.49 01a57930o0438o
57934.426543  17.639  0.108   319   35 o  0  21.96 266.37407 -29.31596  2950.56  7120.60 4.21 3.14  -1.9 -0.403 18.50 20.43 01a57934o0386o
57934.443776  11.947  0.001 60415   33 o  0 65199.62 266.37407 -29.31596  2925.39  7150.73 3.26 3.09 -24.8 -0.437 18.58 20.48 01a57934o0421o
57938.404427  12.566  0.001 34170   50 o  0 21340.55 266.37407 -29.31596  3314.20  6969.60 4.78 3.94 -17.3 -0.452 17.93 19.43 01a57938o0233o
57938.412829  17.237  0.126   463   58 o  0  35.60 266.37407 -29.31596  3336.92  7041.28 4.97 4.06 -15.4 -0.394 17.98 19.42 01a57938o0250o
57938.421235  16.986  0.108   583   63 o  0   8.17 266.37407 -29.31596  3290.65  6997.56 4.47 3.66 -20.8 -0.473 18.05 19.44 01a57938o0267o
57938.432616 -20.932  3.692   -15   57 o  0   4.57 266.37407 -29.31596  3278.69  7161.27 4.08 3.27 -25.8 -0.449 18.15 19.48 01a57938o0290o
57948.401361 -18.299  0.283  -174   49 o  0   6.44 266.37407 -29.31596  4958.63    52.64 2.31 2.01  46.8 -0.555 18.83 19.96 02a57948o0319o
